Model Condition,Avg Branch Rate,Std error,No. Valid Folders
noscale.100g.500b,0.066176471,0.007462420,20
noscale.200g.1000b,0.019117647,0.004300056,20
noscale.200g.1500b,0.022058824,0.005453087,20
noscale.200g.250b,0.073529412,0.007052693,20
noscale.200g.true,0.014705882,0.004411765,20
noscale.25g.500b,0.129411765,0.008675224,20
noscale.400g.500b,0.025000000,0.005609480,20
noscale.50g.500b,0.085294118,0.008549672,20
noscale.800g.500b,0.010294118,0.003136872,20
scale2d.200g.500b,0.054411765,0.006333781,20
scale2u.200g.500b,0.030882353,0.004399493,20
noscale.200g.500b_ACTUALLY_scale2d.200g.500bp_ONADER,0.048529412,0.006983359,20
,,,
